type,model,serial_number,trans_interval,protocol,acoustic_tag_id,temp_id,depth_id,sensor,freq_khz,depth_min_m,depth_max_m,m_pr_step,temp_min_c,temp_max_c,deg_pr_step,slope,intercept,est_tag_life_days,tag_turned_on_date,comments
T,DT-HP16,08X1,90-150,Ops,3331,3331,,Temp,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X2,90-150,Ops,3332,,3332,Depth,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X2,90-150,Ops,3333,3333,,Temp,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X3,90-150,Ops,3334,,3334,Depth,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X3,90-150,Ops,3335,3335,,Temp,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X4,90-150,Ops,3336,,3336,Depth,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X4,90-150,Ops,3337,3337,,Temp,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X5,90-150,Ops,3338,,3338,Depth,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X5,90-150,Ops,3339,3339,,Temp,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X6,90-150,Ops,3340,,3340,Depth,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X6,90-150,Ops,3341,3341,,Temp,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X7,90-150,Ops,3342,,3342,Depth,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X7,90-150,Ops,3343,3343,,Temp,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X8,90-150,Ops,3344,,3344,Depth,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X8,90-150,Ops,3345,3345,,Temp,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X9,90-150,Ops,3346,,3346,Depth,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
T,DT-HP16,08X9,90-150,Ops,3347,3347,,Temp,69,0,290,,-20,50,,-100,0.1,2487,,tag not started
